overall,reviewText
5,"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will."
5,The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.
5,This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.
5,Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.
5,"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage."
5,SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.
5,"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand.."
5,San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.
5,Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.
5,"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged..."
5,"Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha..."
5,"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!"
5,"As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?"
5,This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.
5,"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area."
1,"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever"
4,The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.
5,I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.
5,I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.
5,Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.
5,I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.
1,"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality."
5,"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with."
5,"This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there."
5,"I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device."
5,"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get."
1,"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however..."
4,"more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars."
5,"not much to say other than plug and play, good quality and fits a lot of video ...good good good"
5,"A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it."
5,"This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often."
5,It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.
2,"I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable."
5,"A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with."
5,"I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down."
5,Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.
4,"everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine."
5,"Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues."
5,Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.
4,"Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up."
5,This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.
5,"I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!"
5,Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.
5,"You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer."
5,"Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install."
5,"32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great."
5,"excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk"
3,"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising."
5,"Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over."
5,"Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,"
5,A lot of people want big memory which is fine. But you need to look at speed class. This one is class 10. Which is great when your taking pictures or video. It will not freeze because it can move the MB/s fast enough. Lesser speed cards will freeze or will say waiting for camera and you will miss the moment. Its also a Sandisk which is a name you can trust when it come to memory cards.
5,"fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute"
5,"There is something to be said about SanDisk. You plug it in and it just works. I've never had one be DOA or any memory issues throughout the years, both for my camera and storage products. I installed this in my Galaxy SIII and it recognized it right away and I was able to dump my music onto it. Speed seems great as well, no complaints."
5,"How do I praise extra memory? It fills my MP3 player with every song my heart desires, the sound quality is perfect. The ease of use is superb. It's great."
5,"All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints."
5,"does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)"
5,Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.
5,"Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet."
5,"works great on my sprint htc evo 4g lte.  Formatted w/ fat32 so of course the maximum file size is 4gb meaning no full length hidef movies.  However, this isn't a problem;  I bought the card for putting a music library on my phone.Like all class 10 micro-sdhc cards, it does NOT do 10MB/s, but it's closer than any other class 10 card I've ever tried.  Most do 3-4MB/s.  Kingston 32GB did 7MB/s.  This card does about 8-9MB/s.Can't wait till 128GB and 256GB cards become available and affordable."
5,"**Update 6.24.14**My 128 GB card stopped allowing writes via any of my card-readers on a Windows PC--either when it was inside any of several full-size SD card adapters (with the write-protect tab in either position) or plugged directly into the microSD slot of the reader.  MicroSD cards have no write-protect tab, so I was quite surprised and worried by this.  After failing to find any workable solution by searching online, I finally put it in my Chromebook and created a new folder on it there, then stuck it back in my Windows PC and it no longer gave me a write-protect error.  If anyone has a similar problem, I'd recommend doing something similar by putting it in any other PC, laptop, camera, etc you have available and try writing to it there.----------------------------------------------This portion of my review is necessarily being written as an update to my original review of the 64 GB version of this card, since Amazon disallows multiple reviews for what they consider the same item.  This portion concerns the 128 GB version of this card:I don't need a fast card, so the speeds on this card were not that important, besides which my test PC is not exactly high-end. Therefore I didn't count off for the speed results I got below, using a USB 2.0 card adapter, but I thought they might be relevant to some readers. While the card did reach the Class-10 and/or UHS-I requirements, it came in at under 2/3 of the claimed ""read speeds up to 30 MB/s for fast file transfer.""  Then again, running on a second PC using a different USB 2.0 card reader, none of the speeds even hit 5 MB/s, so this seems to be highly system-dependent.I only just got the card this week, and so far it works on *select* SDXC-compatible devices and exFAT-compatible operating systems:  some SDXC-compatible devices, such as the Panasonic HDC-TM40, do not allow cards larger than 64 GB (for whatever reason); this was stated in the manual, and I've confirmed this card is recognized as broken/corrupt/unusable in that device, whereas 64 GB exFAT cards work fine.  The 128 GB works fine (with original exFAT formatting) in my Toshiba Excite 7.7 Android tablet, and (predictably) not at all in my non-SDXC-compatible Galaxy Note 2 (though it possibly would if reformatted to FAT32, since a 64 GB card in FAT32 works fine there).I'll update my review to reflect any problems, issues, etc that I notice in the coming days & weeks.-----------------------------------------------------------------------CrystalDiskMark 3.0.3 (C) 2007-2013 hiyohiyoCrystal Dew World : [url removed as per Amazon rules]-----------------------------------------------------------------------* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read : 18.694 MB/sSequential Write : 11.921 MB/sRandom Read 512KB : 18.502 MB/sRandom Write 512KB : 0.680 MB/sRandom Read 4KB (QD=1) : 3.339 MB/s [ 815.1 IOPS]Random Write 4KB (QD=1) : 1.581 MB/s [ 386.1 IOPS]Random Read 4KB (QD=32) : 3.151 MB/s [ 769.4 IOPS]Random Write 4KB (QD=32) : 1.564 MB/s [ 381.8 IOPS]Test : 1000 MB [G: 0.0% (0.0/119.1 GB)] (x5)Date : 2014/04/24 16:53:49OS : Windows XP Professional SP3 [5.1 Build 2600] (x86)-------------------------------------------------------------------------------------------------------------------------------The following is my original review of the 64 GB version of this card, published April 24, 2013:This is a high-quality card.  I've used it in a variety of devices, through multiple readers on different pcs, in an HD camcorder using a micro to full-sized SD adapter, and I've never once had a problem with it.  It even works at full capacity in *some* microSDHC-only devices once its reformatted to FAT32 (such as my SanDisk Clip+ FLAC player and supposedly even PSPs via a proper adapter, though I haven't yet tested my PSP).  I keep anticipating someone coming out with a card with equal or better capacity and speeds at a comparable price, but I haven't seen one yet.  If these were cheaper, I'd have several by now.Make sure your device can handle micro or full-sized SDXC cards, or is one of those rare gems that state they support only as high as SDHC but have been tested to work with SDXC cards such as this one once they've been manually reformatted to FAT32."
5,"Works great in the phone and the wife loves it, we got a second for her mom and she is storing lots of pictures and videos on it"
5,I loaded this card up with home movies for my Samsung Galaxy Tab 2. The copy process from computer to card was fast. There are no skips in the movie quality and I have plenty of room left to go. Wish I had bought another for more collections.
5,"Bought this for my S3 and loaded it with 4 seasons of Futurama, 5 full length HD movies, several documentaries, and a dozen or so 30 minute comedy shows with plenty of room left over for pictures, etc...Only slight nitpick is when booting up into recovery mode on the S3 it will not recognize the card. Wanted to update the phone to the latest version of Android and it would not see it. Had to resort to a 2GB MicroSD I had laying around. That wasn't a SD card issue but I thought I would throw that in."
5,"I purchased this after my wife and I bought our Samsung Galaxy S4 to store all the music, pictures and videos.  The S4 camera is capable of capturing 16-megapixels photos so the 16GB microSD that I had will not suffice.  As a matter of fact I've already exhausted the remaining space on the card so this 64GB will allow me to take more photos (of our son)."
5,"Great storage, has not failed yet after about a year of usage."
5,"Since the wife is using it and it is not causing any problems, then it must be functioning normally. Looks good so far."
5,Class 10 speeds are the only way to fly and with 29.71GB of usable space I think I should be good for a while.
5,"The subject says it all.  Does what it's supposed to do ... at a great price.  When it's on sale, buy it."
5,"Lot of questions about this memory card fitting the Samsung Galaxy Tab 3 10.1 tablet.  It fits and works no problem at all. The only thing is that after installing, instead of showing 64GB available, it only shows 59GB.Tried formatting the card but with same results.Have no idea if this is a limit set by the the Galaxy Tab 3 tablet, or is it just &#34;normal&#34; to buy 64GB and get less than that.As this is surely not a problem coming from the Sandisk memory card, my rating is a 5-STAR.  Excellent price, works great, and very quick delivery."
5,"When it comes to any kind of flash storage SanDisk has always been my go to brand because they sell quality items and stand by them if there's a problem. So as usual no complaints here, it works as descried and I haven't have any issues. Both read and write speeds are right where the specs say they should be."
5,"High speed, high capacity of storage. Great durability. I use in my phone and in my digital camera. Work very good"
5,THis memory helps me to keep all what I want to keep on my cell phone.It is a good brand and its on the right price.
4,"I bought this SD card for my android phone thinking that a class 10 will be faster and more reliable than others. it turns out, the difference in class doesn't really matter at least for Android phones. didn't really worth the price difference"
5,The SanDisk 32GB Micro SD Class 10 is a reliable SD card with amazing transfer speeds. There is no noticeable lag transfering even the largest RAW images to it. Hadn't had any problem with it.
4,good card. work as describes. haven't had any issue with it or going pass metal detectors. no lost files or missing files.
5,"Bought this to store music on my phone. Works flawlessly after three months so far, no problems.In my card reader, I average 6-8 megabytes read and write to it."
5,"I'm amazed.  I ordered this from Amazon on Tuesday morning, and it arrived with Wednesday's mail.  VERY impressive service from Amazon!As has already been reported, the card formats out to > 59 Gb, and it performs perfectly in my Samsung Galaxy S III (which is also new).  Using two card readers on a fast PC, I transferred everything from my old 16GB card to the new 64 GB card in less time than it took to walk to the kitchen and get a cup of coffee.  So I think the Class 10 rating is correct on the card.Once I have some experience with the card in the phone, I'll benchmark the card and I'll also benchmark operations such as internally backing up my Android phone to the card.  Then I'll update this review with some accurate numerical data.  But in the mean time on first look, the person who said that the S 3 has problems with anything faster than class 6 may not have been correct - a full backup of the phone to the card was significantly faster than the backup with the old 16GB class 6 card.  Again no benchmarks yet but once I have them I'll include them here.Right now I'm very happy with this card and I'm really impressed - both with the card and with the unbelievably quick service from Amazon (and I'm in Atlanta where shipments like this one often take the full 3 days to arrive)."
5,"Excellent, one of the best, can't go wrong with this card, class 10 is necessary and shows noticeable but not significant improvements over class 4"
5,"I bought the 64GB MicroSD card at Best Buy because I needed one for my Microsoft Surface Pro. It provides all the space I need and for people who need a lot of space (videos, Quick Books, picture editing, games, etc.) this card is the one for you. If you don't need that much space, consider buying one for cheaper with a little less memory.NOTE: Be aware that this is a MicroSDXC format card. While most new computers support this format, many of the older computers do not (This includes all but a few tablets and smartphones). Before buying this, MAKE SURE your computer, tablet, or smartphone is compatible. If it is not, it will not work, period. For others who claim that the card doesn't work no matter what they try, chances are their machine cannot support MicroSDXC format."
4,"I got this because I just couldn't pass up the deal, $17.99. It has been incredibly fast in my HTC Sensation 4g. Pictures are taken and saved instantaneously. Only had it a few days, but have been very happy. Shipping was fast and the packaging was easy to open which is always great in my book. Only issue I had was I had to format it on my computer first before my phone was able to recognize it."
5,"You get a lot of storage at a small price. the micro sd with adapter, class 10 so it's fast . I am happy with this purchase and You will be too. I hope this review is helpful!"
5,"The Ultra micro SDHC was fine once I got it working. Neither the packaging nor the Sansa Clip player inform the user that the player needs to be totally off before the microcard is inserted. If not, the unit will not read the card!  Otherwise? Love it and the storage for even 16 GB, let alone 32, is tremendous..."
5,I upgraded to this after the price dropped. I originally had a 16gig sandisk card and it was in my mytouch 4g. I found toward my mytouch 4g's end of life that space is running low. So when I got my Galaxy S3 I bought this card. It works flawlessly. I highly recommend it. Now errors what so ever. Super fast transfer rate.
5,This item was priced right and fit right into my cell phone without any issues. Does what it is suppose to do and I don't know what else I could say. Being a class 10 it is suppose to be plenty fast for cell phone use which I am sure speeds up camera use to some degree. Has worked well and the shipping was fast.
4,"I got this memory card for my Samsung Galaxy S3. I was running out of room on my Sandisk 32gb Class 4 micro sd card. I also wanted a faster and more durable card. I was hopping to put lots of media on it. In addition to nandroid backups and custom roms. I later found out that since this card is formatted in ex-fat it would not work to make nandroid backups or flash custom roms. Most custom recovery and custom roms dont work with ex-fat. So my only choice was to format the card to fat 32, which meant I couldn't put any files larger than 4gb on it. Besides that this card is great and very reasonable price of $50. If your some one who doesn't root their phone or put custom roms, nandroid backups or put files larger than 4gb than this will not affect you. This memory card is fast and provides the most storage you can put on your mobile device at this time. The card is also water proof, shock proof and comes with lifetime warranty. Ive never had any issues with sandisk memory cards or usb flash drives. They last a really long time."
5,"Using the included adaptor on my MacBook Pro to transfer files, I was impressed with the speed of this card."
5,Got this to store movies and music on my Samsung Note III.Not much to say about a memory card except that it works as expected.
5,I purchased this version to expand memory on my 16gb android tablet.  Nothing fancy but it does the job.  No problems and it played back flawlessly all the files I transferred.There are so many different microSD cards out now but if you see this on sale then you might want to consider it instead of cheaper no-name brand.
5,I've ordered other SD cards before but this one is the best overall. Shipping was excellent fast and reliable. I would recommend it to anyone who is looking for a quality product. Thanks again!
5,I use this for my phone and it works just as it should and it was totally worth the money! Great place to store pictures and music for phones instead of using the phone memory so it will still run fast.
4,"I bought two of these one for Asus infinity and one for Samsung galaxy s3 international version. It worked fine with my Asus but it didn't work on my phone. I formatted this card using the phone,the tablet and my laptop  but didn't work I did some tests with apps using some apps nothing showed its not working the only way I got it to work is by formatting it in my Canon SLR camera."
2,"It works but the actual R/W speeds are 18/8 MB/s, not even Class 10. It should be marketed as ""Sandisk Basic"", not Sandisk Ultra"", unless they mean ultra slow. Now is 2014 and there is no excuse for such slow card from Sandisk.*** UPDATE ***I have redone the test with NotePro 12.2"" instead of using non UHS-I PC and the latest results are 32/8.6MB/s. Since the read speed hits 30, I believe the device is DHS-I ready. Still underwhelmed by the write speed though."
4,SanDisk Ultra 32 GB MicroSDHC C10/UHS1 Memory Card with Adapter...SanDisk Ultra 32 GB MicroSDHC C10/UHS1 Memory Card with Adapter...Works fine.
5,Great for adding a ton of storage to your smartphone or other device.  Fast enough for most needs and the price is right.
5,"You can't possibly go wrong with a San Disc product!  Although I purchased this for my son, I have used San Disc in the past and have never been disappointed!"
3,Does it's job and fairly cheap for what it's worth. I had to return my first one and exchange it for another because the first one was defective. Sandisk really needs to do better quality assurance on their products. The second one works perfectly fine. I use it for my GoPro camera.
4,"I bought this for my son's tablet for cartoon videos, movies and &#34;all&#34; games he will be downloading (He's under 5 yrs so they'll be small simple games)."
5,"I bought this for a friend of mine to put some videos on it.  Initially, when plugged into the computer, we couldn't find the storage in the directory.  However, after finding a micro sd to usb adapter...bingo!  Worked like a charm after that.  Install the videos, plugged the card in the phone, and we were off to the races.Not sure if we needed the adapter, but we couldn't get the computer to recognize it.  We also used a Linux O/S.  Go figure."
5,"The Sandisk Ultra 64GB Micro Card is a great addition to maximize the Samsung Galaxy IIIS, whatever version you got 16GB or 32GB. Is a very fast memory at a great price. Plenty space for pictures, videos and Android Applications. Good for the 1080 videos that the Galaxy IIIS use. Super Fast. If you got the most advanced smartphone in the market as I do, this is the memory to get at the right price."
5,I installed this on my Samsung tablet tab 2 7.0. There is definitely a performance difference on my tablet especially when i load up all my apps.
5,This memory works in Samsung Smartphones .It is a fast memorySandisk is the most reliable memories in the market
5,"Love it, good quality good performance, great brand. Could not find better product for my money. Using it for a Samsung Galaxy S4 mini with zero complications."
5,"This product arrived in two days (Prime), it was exactly what I ordered and it works great in my Galaxy S3. I know a class 10 is not exactly needed in a cell phone but it cannot hurt, right? I'm very happy with this purchase."
5,I expanded my Samsung Tab 10.1 tablet from 1GB to 32GB works fast and don't see any lags. I can now store more than ten movies on my tab and play right of the flash disc with no problems.Very happy with this card.
5,"Update: providing an update with regard to SanDisk support.I bought the memory card in Aug 2012 (see original review below). In May of 2013 while on my cruise to Alaska the card went bad. During the sailing out of San Francisco it was fine as I used it to take a panorama shot of the Golden Gate Bridge. For most of the cruise I was using my DSLR but the next time I wanted to use my cell phone, the phone told me I had no memory card loaded.  Any way, tested the card on my laptop when I got back and it couldn't recognize it. I contacted SanDisk via email and provide them copy of my receipt from Amazon along with the serial number on the back of the card (very hard to read) and no problems; they told me to send them back the card and they sent me a brand new card which is now still functioning in my cell phone.  Great support provide by SanDisk. No hassle as long as you can provide proof of purchase (easy to do since Amazon keeps my entire purchase history/invoices online).  One reason I buy directly from Amazon itself vs other vendors (either on Amazon or elsewhere on the Internet) is that I have confidence that the memory cards sold by Amazon itself are genuine.  there may be incredible deals elsewhere on the internet but in some cases the deals are too good to be true and counterfeit cards are being sold.Original review:Just received this today. Removed it from the packaging and inserted it into my Samsung Galaxy S3 (Verizon) and powered the unit back up and the storage was available.  No formatting required. Worked the first time out. Settings showed 29.71GB of total space (32GB version) and 29.71GB of free space.  I like the fact that a SD adapter came with it.  Should I ever need to insert the card into my laptop it will come in handy. (yes I can plug my phone directly to my laptop but if I ever swap this 32GB card out of my phone and replace it with a 64GB version, I can use this 32GB version via the adapter for other purposes.)"
3,"Still don't feel is very fast or is just my phone, I guess I will need to remove it and run some R/W tests. Still Its ok."
